FROM	TO	TRANSPORT_TIME
Diffusion_FE_101	TF_FE_104	67.96754020151602
Diffusion_FE_101	Implant_88	37.80028758954636
Diffusion_FE_101	DefMet_BE_42	34.72045247860636
Diffusion_FE_101	DE_FE_86	56.63942338505265
Diffusion_FE_101	TF_FE_103	60.527450575306354
Diffusion_FE_101	TF_BE_40	70.30222334316245
Diffusion_FE_101	LithoMet_BE_18	100.9551449187778
Diffusion_FE_101	Dielectric_BE_27	37.90865596227713
Diffusion_FE_101	Dielectric_FE_130	31.88172060214252
Diffusion_FE_101	STOCKER	65.36397919540214
Diffusion_FE_101	DE_BE_12	83.90059877947283
Diffusion_FE_101	Dielectric_FE_30	30.746883371132792
Diffusion_FE_101	Diffusion_FE_127	29.757022811931176
Diffusion_FE_101	DE_FE_56	66.49994505482951
Diffusion_FE_101	TF_Met_FE_61	73.90117304310894
Diffusion_FE_101	DefMet_FE_118	40.30378581860636
Diffusion_FE_101	TF_BE_23	71.97015054094432
Diffusion_FE_101	Diffusion_FE_126	26.78827281693118
Diffusion_FE_101	DE_FE_1	80.53481220806754
Diffusion_FE_101	Litho_FE_92	99.12576673019979
Diffusion_FE_101	DefMet_FE_34	40.30378581860636
Diffusion_FE_101	DE_BE_13	92.76991878207014
Diffusion_FE_101	Diffusion_FE_120	9.729952984250767
Diffusion_FE_101	Planar_FE_80	86.53057711961989
Diffusion_FE_101	WE_FE_108	55.10923759586017
Diffusion_FE_101	Implant_128	46.41597908587175
Diffusion_FE_101	Implant_132	55.20949887193821
Diffusion_FE_101	WE_FE_41	62.60736898452526
Diffusion_FE_101	WE_BE_17	54.62352676519697
Diffusion_FE_101	WE_BE_7	57.123526761944504
Diffusion_FE_101	WE_BE_82	64.02297602848604
Diffusion_FE_101	TF_BE_24	82.7188677155601
Diffusion_FE_101	DE_FE_70	67.491951289826
Diffusion_FE_101	Diffusion_FE_100	19.304481798895104
Diffusion_FE_101	COMPLETE	106.16993165064457
Diffusion_FE_101	LithoTrack_BE_117	90.58044799254941
Diffusion_FE_101	WE_BE_81	65.32315041428011
Diffusion_FE_101	LithoTrack_FE_115	90.58429748556163
Diffusion_FE_101	DefMet_FE_43	46.368405252600546
Diffusion_FE_101	Diffusion_FE_44	43.53227069975796
Diffusion_FE_101	LithoTrack_FE_95	83.93616444756728
Diffusion_FE_101	Litho_FE_35	85.33876951354723
Diffusion_FE_101	DE_BE_48	88.49622711488314
Diffusion_FE_101	Diffusion_BE_123	26.72809756451926
Diffusion_FE_101	Implant_74	44.62466749667402
Diffusion_FE_101	Planar_FE_79	74.18947821637802
Diffusion_FE_101	DE_FE_59	77.21390348823755
Diffusion_FE_101	Diffusion_FE_94	42.09156872276146
Diffusion_FE_101	WE_FE_84	53.82230208403958
Diffusion_FE_101	TF_FE_131	57.63138766111464
Diffusion_FE_101	Dielectric_BE_20	52.201343295558914
Diffusion_FE_101	DE_BE_66	81.59196430484847
Diffusion_FE_101	TF_BE_2	85.7437495338553
Diffusion_FE_101	WE_BE_9	48.63198461521568
Diffusion_FE_101	TF_FE_3	58.27340864316418
Diffusion_FE_101	DE_FE_72	70.28226236046498
Diffusion_FE_101	Dielectric_BE_21	52.439024694995055
Diffusion_FE_101	Diffusion_FE_125	24.321606144931184
Diffusion_FE_101	TF_Met_FE_45	71.40617425007761
Diffusion_FE_101	WE_FE_8	55.9587533759885
Diffusion_FE_101	Dielectric_FE_29	34.365053938142516
Diffusion_FE_101	Litho_FE_98	97.0043141030792
Diffusion_FE_101	DE_BE_65	86.84097313997015
Diffusion_FE_101	DefMet_FE_106	37.220452478606354
Diffusion_FE_101	DE_BE_67	76.72825353377209
Diffusion_FE_101	Planar_BE_75	76.88092131940408
Diffusion_FE_101	Dielectric_BE_28	43.57454940003299
Diffusion_FE_101	Litho_FE_111	100.54705446219073
Diffusion_FE_101	WE_FE_47	59.07808779902686
Diffusion_FE_101	Litho_BE_99	89.19698473719662
Diffusion_FE_101	WE_FE_85	51.89220474523578
Diffusion_FE_101	DE_FE_62	70.08035915330964
Diffusion_FE_101	Litho_BE_110	105.73537259523017
Diffusion_FE_101	Dielectric_FE_112	38.42663698651679
Diffusion_FE_101	Planar_FE_78	69.68947821407178
Diffusion_FE_101	Planar_FE_77	75.0555247927091
Diffusion_FE_101	TF_FE_113	72.34771946156658
Diffusion_FE_101	DE_FE_58	68.36105616816282
Diffusion_FE_101	Dielectric_FE_31	25.18919056895441
Diffusion_FE_101	DE_BE_50	84.31490225555333
Diffusion_FE_101	Litho_REG_FE_64	86.80158272960476
Diffusion_FE_101	DefMet_FE_10	36.387119145273026
Diffusion_FE_101	Litho_REG_BE_63	95.23188299123363
Diffusion_FE_101	WE_BE_16	55.616811692779834
Diffusion_FE_101	Litho_BE_93	103.05407788628604
Diffusion_FE_101	LithoTrack_FE_96	80.83823803446765
Diffusion_FE_101	DE_FE_53	80.27699496621791
Diffusion_FE_101	DefMet_BE_33	50.452545612861755
Diffusion_FE_101	DE_FE_54	63.19438949482949
Diffusion_FE_101	DE_BE_11	98.11131532513873
Diffusion_FE_101	DE_FE_51	77.68306579847976
Diffusion_FE_101	DE_FE_71	64.65860819782647
Diffusion_FE_101	WE_BE_14	70.6496184503451
Diffusion_FE_101	Planar_FE_76	82.22712691921518
Diffusion_FE_101	TF_BE_26	68.14773497505116
